name,matrix_size,average_memory_used_mib
multiplication1,10,5.163678058815451E-8
multiplication1,50,8.424044201827287E-5
multiplication1,100,9.388898409401329E-4
multiplication1,500,0.12563341751839352
multiplication1,1000,1.2651597362453655
multiplication2,10,-1.1132826493779321E-7
multiplication2,50,1.0594437332892005E-4
multiplication2,100,2.4052523401920642E-4
multiplication2,500,0.03137464791816019
multiplication2,1000,0.7778086904752053
multiplication3,10,1.5398049042411944E-7
multiplication3,50,1.0056502614016501E-4
multiplication3,100,-3.872607567394634E-5
multiplication3,500,0.09483200690649837
multiplication3,1000,2.037951213557546
multiplication4,10,6.261817060601402E-7
multiplication4,50,9.259491685745976E-5
multiplication4,100,0.001501740357747592
multiplication4,500,0.1442962861396897
multiplication4,1000,0.15310562133789063
multiplication5,10,1.3633545646223142E-5
multiplication5,50,3.409740125201437E-4
multiplication5,100,1.6965493509464214E-4
multiplication5,500,0.005525100354851481
multiplication5,1000,0.7658744812011719
