method,matrix_size,num_threads,average_memory_used_kib
NaiveMultiplication,64,1,0.000000000000000
VectorizedMultiplication,64,1,67.018750000000000
NaiveMultiplication,64,1,0.000000000000000
ParallelMultiplication,64,2,0.000000000000000
VectorizedMultiplication,64,1,0.000000000000000
NaiveMultiplication,64,1,0.000000000000000
ParallelMultiplication,64,4,6.743750000000000
VectorizedMultiplication,64,1,0.000000000000000
NaiveMultiplication,64,1,0.000000000000000
ParallelMultiplication,64,8,0.000000000000000
VectorizedMultiplication,64,1,0.000000000000000
NaiveMultiplication,128,1,0.000000000000000
VectorizedMultiplication,128,1,0.000000000000000
NaiveMultiplication,128,1,0.000000000000000
ParallelMultiplication,128,2,0.000000000000000
VectorizedMultiplication,128,1,0.000000000000000
NaiveMultiplication,128,1,0.000000000000000
ParallelMultiplication,128,4,0.000000000000000
VectorizedMultiplication,128,1,0.000000000000000
NaiveMultiplication,128,1,0.000000000000000
ParallelMultiplication,128,8,0.000000000000000
VectorizedMultiplication,128,1,0.000000000000000
NaiveMultiplication,512,1,0.000000000000000
VectorizedMultiplication,512,1,0.000000000000000
NaiveMultiplication,512,1,0.000000000000000
ParallelMultiplication,512,2,0.000000000000000
VectorizedMultiplication,512,1,0.000000000000000
NaiveMultiplication,512,1,0.000000000000000
ParallelMultiplication,512,4,0.000000000000000
VectorizedMultiplication,512,1,0.000000000000000
NaiveMultiplication,512,1,0.000000000000000
ParallelMultiplication,512,8,0.000000000000000
VectorizedMultiplication,512,1,0.000000000000000
NaiveMultiplication,1024,1,0.000000000000000
VectorizedMultiplication,1024,1,0.000000000000000
NaiveMultiplication,1024,1,0.000000000000000
ParallelMultiplication,1024,2,0.000000000000000
VectorizedMultiplication,1024,1,0.000000000000000
NaiveMultiplication,1024,1,0.000000000000000
ParallelMultiplication,1024,4,0.000000000000000
VectorizedMultiplication,1024,1,0.000000000000000
NaiveMultiplication,1024,1,0.000000000000000
ParallelMultiplication,1024,8,0.000000000000000
VectorizedMultiplication,1024,1,0.000000000000000
NaiveMultiplication,2048,1,0.000000000000000
VectorizedMultiplication,2048,1,0.000000000000000
NaiveMultiplication,2048,1,0.000000000000000
ParallelMultiplication,2048,2,6618.171875000000000
VectorizedMultiplication,2048,1,0.000000000000000
NaiveMultiplication,2048,1,0.000000000000000
ParallelMultiplication,2048,4,6614.956250000000000
VectorizedMultiplication,2048,1,0.000000000000000
NaiveMultiplication,2048,1,0.000000000000000
ParallelMultiplication,2048,8,13290.275000000000000
VectorizedMultiplication,2048,1,0.000000000000000
